# wltelfit transtelfit wldata fluxdata
1.183346069335937500e+03 9.993115543345252316e-01 1.183346069335937500e+03 9.864212274551391602e-01
1.183351562500000000e+03 9.991098893785698154e-01 1.183351562500000000e+03 9.907228946685791016e-01
1.183357055664062500e+03 9.987607012907117054e-01 1.183357055664062500e+03 9.865834116935729980e-01
1.183362670898437500e+03 9.981567947696307064e-01 1.183362670898437500e+03 9.962732195854187012e-01
1.183368164062500000e+03 9.970261464558003439e-01 1.183368164062500000e+03 9.856075048446655273e-01
1.183373779296875000e+03 9.948693930357033199e-01 1.183373779296875000e+03 9.573812484741210938e-01
1.183379272460937500e+03 9.914581897498673246e-01 1.183379272460937500e+03 9.353709220886230469e-01
1.183384765625000000e+03 9.882560149730438281e-01 1.183384765625000000e+03 9.305250644683837891e-01
1.183390380859375000e+03 9.880920619103810143e-01 1.183390380859375000e+03 9.471478462219238281e-01
1.183395874023437500e+03 9.910186847814622668e-01 1.183395874023437500e+03 9.781635403633117676e-01
1.183401367187500000e+03 9.941204204927488464e-01 1.183401367187500000e+03 9.933012723922729492e-01
1.183406982421875000e+03 9.959610945875314592e-01 1.183406982421875000e+03 9.984085559844970703e-01
1.183412475585937500e+03 9.971925030298157688e-01 1.183412475585937500e+03 9.935513734817504883e-01
1.183418090820312500e+03 9.982083240462692464e-01 1.183418090820312500e+03 9.976581335067749023e-01
1.183423583984375000e+03 9.988232287391325404e-01 1.183423583984375000e+03 9.804989695549011230e-01
1.183429077148437500e+03 9.991252254222953155e-01 1.183429077148437500e+03 9.808131456375122070e-01
1.183434692382812500e+03 9.992945480296012706e-01 1.183434692382812500e+03 9.754313230514526367e-01
1.183440185546875000e+03 9.993839778040987110e-01 1.183440185546875000e+03 9.823349118232727051e-01
1.183445678710937500e+03 9.994095103466746899e-01 1.183445678710937500e+03 9.792021512985229492e-01
1.183451293945312500e+03 9.994186735002827948e-01 1.183451293945312500e+03 9.711127281188964844e-01
1.183456787109375000e+03 9.994544521954130678e-01 1.183456787109375000e+03 9.432991743087768555e-01
1.183462280273437500e+03 9.995128054181088295e-01 1.183462280273437500e+03 9.255758523941040039e-01
1.183467895507812500e+03 9.995466550860540034e-01 1.183467895507812500e+03 9.093688726425170898e-01
1.183473388671875000e+03 9.995128758916030920e-01 1.183473388671875000e+03 9.204252958297729492e-01
1.183478881835937500e+03 9.993833608940734248e-01 1.183478881835937500e+03 9.401720166206359863e-01
1.183484497070312500e+03 9.991368789266072969e-01 1.183484497070312500e+03 9.464014768600463867e-01
1.183489990234375000e+03 9.988640029640881712e-01 1.183489990234375000e+03 9.544132947921752930e-01
1.183495483398437500e+03 9.987911899676557015e-01 1.183495483398437500e+03 9.648141860961914062e-01
1.183501098632812500e+03 9.989925693411173535e-01 1.183501098632812500e+03 9.762334227561950684e-01
1.183506591796875000e+03 9.992510079131932121e-01 1.183506591796875000e+03 9.905184507369995117e-01
1.183512084960937500e+03 9.993946837113736326e-01 1.183512084960937500e+03 9.966044425964355469e-01
1.183517700195312500e+03 9.994745757312745171e-01 1.183517700195312500e+03 9.839834570884704590e-01
1.183523193359375000e+03 9.995536373969031718e-01 1.183523193359375000e+03 9.643384218215942383e-01
1.183528686523437500e+03 9.995916705248423240e-01 1.183528686523437500e+03 9.418592453002929688e-01
1.183534301757812500e+03 9.995764737178495229e-01 1.183534301757812500e+03 9.179255962371826172e-01
1.183539794921875000e+03 9.995363838975633852e-01 1.183539794921875000e+03 9.127786159515380859e-01
1.183545288085937500e+03 9.994956076845656900e-01 1.183545288085937500e+03 9.329894781112670898e-01
1.183550903320312500e+03 9.994408973757002990e-01 1.183550903320312500e+03 9.639916419982910156e-01
1.183556396484375000e+03 9.993529650700619937e-01 1.183556396484375000e+03 9.911401271820068359e-01
1.183561889648437500e+03 9.992238823371676348e-01 1.183561889648437500e+03 9.874302148818969727e-01
1.183567504882812500e+03 9.990373464895929700e-01 1.183567504882812500e+03 9.882668852806091309e-01
1.183572998046875000e+03 9.987621077442280226e-01 1.183572998046875000e+03 9.874995946884155273e-01
1.183578491210937500e+03 9.983297338808455601e-01 1.183578491210937500e+03 9.726115465164184570e-01
1.183584106445312500e+03 9.975945260275601578e-01 1.183584106445312500e+03 9.843405485153198242e-01
1.183589599609375000e+03 9.962857829621984962e-01 1.183589599609375000e+03 9.769248962402343750e-01
1.183595092773437500e+03 9.940266021954333731e-01 1.183595092773437500e+03 9.835528135299682617e-01
1.183600708007812500e+03 9.906716269600653879e-01 1.183600708007812500e+03 9.805821180343627930e-01
1.183606201171875000e+03 9.865315615634958624e-01 1.183606201171875000e+03 9.796281456947326660e-01
1.183611694335937500e+03 9.826915131849910390e-01 1.183611694335937500e+03 9.593735933303833008e-01
1.183617309570312500e+03 9.819927174467395492e-01 1.183617309570312500e+03 9.543034434318542480e-01
1.183622802734375000e+03 9.856794510428628087e-01 1.183622802734375000e+03 9.435467720031738281e-01
1.183628295898437500e+03 9.907787973108552748e-01 1.183628295898437500e+03 9.177997112274169922e-01
1.183633911132812500e+03 9.945166752560494761e-01 1.183633911132812500e+03 9.205696582794189453e-01
1.183639404296875000e+03 9.966069036852650553e-01 1.183639404296875000e+03 9.426983594894409180e-01
1.183644897460937500e+03 9.977318969031213625e-01 1.183644897460937500e+03 9.560792446136474609e-01
1.183650390625000000e+03 9.983827989048981166e-01 1.183650390625000000e+03 9.591629505157470703e-01
1.183656005859375000e+03 9.987860700608416353e-01 1.183656005859375000e+03 9.555984139442443848e-01
1.183661499023437500e+03 9.990393086097911768e-01 1.183661499023437500e+03 9.638587832450866699e-01
1.183666992187500000e+03 9.991868960094494323e-01 1.183666992187500000e+03 9.698840975761413574e-01
1.183672607421875000e+03 9.992871829740149758e-01 1.183672607421875000e+03 9.563636183738708496e-01
1.183678100585937500e+03 9.994070924496739616e-01 1.183678100585937500e+03 9.691153764724731445e-01
1.183683593750000000e+03 9.995212333362297752e-01 1.183683593750000000e+03 9.806506633758544922e-01
1.183689086914062500e+03 9.995964011535249938e-01 1.183689086914062500e+03 9.889535903930664062e-01
1.183694702148437500e+03 9.996460431946940783e-01 1.183694702148437500e+03 9.732708930969238281e-01
1.183700195312500000e+03 9.996832342789859771e-01 1.183700195312500000e+03 9.700719118118286133e-01
1.183705688476562500e+03 9.997127561406791152e-01 1.183705688476562500e+03 9.732022881507873535e-01
1.183711303710937500e+03 9.997365732262540883e-01 1.183711303710937500e+03 9.446601867675781250e-01
1.183716796875000000e+03 9.997556270588517924e-01 1.183716796875000000e+03 9.418120384216308594e-01
1.183722290039062500e+03 9.997708714489464965e-01 1.183722290039062500e+03 9.476655721664428711e-01
1.183727905273437500e+03 9.997822940008429526e-01 1.183727905273437500e+03 9.586358070373535156e-01
1.183733398437500000e+03 9.997864327020310471e-01 1.183733398437500000e+03 9.509378075599670410e-01
1.183738891601562500e+03 9.997783649229950997e-01 1.183738891601562500e+03 9.423313140869140625e-01
1.183744384765625000e+03 9.997725430618212838e-01 1.183744384765625000e+03 9.542601704597473145e-01
1.183750000000000000e+03 9.997886680131898851e-01 1.183750000000000000e+03 9.742476940155029297e-01
1.183755493164062500e+03 9.998077563359036857e-01 1.183755493164062500e+03 9.746767282485961914e-01
1.183760986328125000e+03 9.998153666219256053e-01 1.183760986328125000e+03 9.719383716583251953e-01
1.183766479492187500e+03 9.998170948392273161e-01 1.183766479492187500e+03 9.624533653259277344e-01
1.183772094726562500e+03 9.998168533124769386e-01 1.183772094726562500e+03 9.693676829338073730e-01
1.183777587890625000e+03 9.998154446447472532e-01 1.183777587890625000e+03 9.768230915069580078e-01
1.183783081054687500e+03 9.998130040951715980e-01 1.183783081054687500e+03 9.936703443527221680e-01
1.183788696289062500e+03 9.998095132167585941e-01 1.183788696289062500e+03 9.939984083175659180e-01
1.183794189453125000e+03 9.998050630124200033e-01 1.183794189453125000e+03 9.761077165603637695e-01
1.183799682617187500e+03 9.997997385791222991e-01 1.183799682617187500e+03 9.802675843238830566e-01
1.183805175781250000e+03 9.997934939786724540e-01 1.183805175781250000e+03 9.780562520027160645e-01
1.183810791015625000e+03 9.997862713292237080e-01 1.183810791015625000e+03 9.885743856430053711e-01
1.183816284179687500e+03 9.997780949369435843e-01 1.183816284179687500e+03 9.924321770668029785e-01
1.183821777343750000e+03 9.997689537508580582e-01 1.183821777343750000e+03 9.953828454017639160e-01
1.183827270507812500e+03 9.997587131520280224e-01 1.183827270507812500e+03 9.922530055046081543e-01
1.183832885742187500e+03 9.997472960208709791e-01 1.183832885742187500e+03 9.745290279388427734e-01
